gamma_readout	fix	range
0	0	0
0.5	3.73333E-06	3.47E-06
1	7.33333E-06	6.47E-06
1.5	1.05E-05	1.07E-05
2	1.41E-05	1.35E-05
2.5	1.80E-05	1.70E-05
3	2.12E-05	2.05E-05
3.5	2.49E-05	2.33E-05
4	2.74E-05	2.66E-05
4.5	3.10E-05	3.25E-05
5	3.38E-05	4.84E-05
5.5	7.71E-05	8.17E-05
6	0.000117267	0.000121867
6.5	0.0001569	0.000159467
7	0.0001896	0.000194933
7.5	0.000221567	0.000230133
8	0.000250833	0.000277
