gamma_readout	rescaled S				
0	0				
0.5	0.001022495				
1	0.007157464				
1.5	0.01303681				
2	0.013292434				
2.5	0.017638037				
3	0.021472393				
3.5	0.029141104				
4	0.039877301				
4.5	0.044478528				
5	0.047034765				
5.5	0.053936605				
6	0.058793456				
6.5	0.073364008				
7	0.154652352				
7.5	0.436860941				
8	1				
8.5	0.623210634				
9	0.380368098				
9.5	0.179447853				
10	-0.040388548				
10.5	-0.265848671				
11	-0.495398773				
11.5	-0.678936605				
12	-0.816973415				
12.5	-0.901840491				
13	-0.941206544				
13.5	-0.949386503				
14	-0.949386503				
14.5	-0.949386503				
15	-0.948875256				
15.5	-0.948364008				
16	-0.947852761				
16.5	-0.947852761				
17	-0.947341513				
17.5	-0.947341513				
18	-0.947341513				
18.5	-0.947852761				
19	-0.947852761				
19.5	-0.947852761				
